tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,population,loss,wind_cat,wind_cat_0,wind_cat_1,wind_cat_2,wind_cat_3,wind_cat_4,wind_cat_5
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Mauritius,MUS,1246381,224158794.01,"{0: 102, 2: 1110238, 3: 136041}",102,0,1110238,136041,0,0
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Reunion,REU,564801,1905564.23,"{0: 267831, 1: 296970}",267831,296970,0,0,0,0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,12866337,32241615.76,"{0: 5706130, 1: 5033984, 2: 2080307, 3: 45916}",5706130,5033984,2080307,45916,0,0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Mauritius,MUS,937579,4992912.47,"{0: 686934, 1: 250645}",686934,250645,0,0,0,0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Reunion,REU,963140,175385122.54,"{1: 291185, 2: 671749, 3: 206}",0,291185,671749,206,0,0
1980,SH121980,NONAME,1980-02-01 12:00,1980-02-07 00:00,OFCL,Mauritius,MUS,1290931,5655134.89,"{0: 170409, 1: 1110204, 2: 10318}",170409,1110204,10318,0,0,0
1980,SH121980,NONAME,1980-02-01 12:00,1980-02-07 00:00,OFCL,Reunion,REU,4810,523199.27,{0: 4810},4810,0,0,0,0,0
1980,SH181980,NONAME,1980-02-25 12:00,1980-03-13 00:00,OFCL,Madagascar,MDG,2063749,994766.47,"{0: 1136017, 1: 927435, 2: 297}",1136017,927435,297,0,0,0
1980,SH181980,NONAME,1980-02-25 12:00,1980-03-13 00:00,OFCL,Mauritius,MUS,1246279,4444202.99,"{1: 1246186, 2: 93}",0,1246186,93,0,0,0
1980,SH181980,NONAME,1980-02-25 12:00,1980-03-13 00:00,OFCL,Reunion,REU,963140,21820537.83,"{1: 909007, 2: 54133}",0,909007,54133,0,0,0
1980,SH191980,NONAME,1980-03-08 00:00,1980-03-17 00:00,OFCL,Mauritius,MUS,1246754,763877379.03,"{0: 475, 2: 506, 3: 1245773}",475,0,506,1245773,0,0
1980,SH191980,NONAME,1980-03-08 00:00,1980-03-17 00:00,OFCL,Reunion,REU,8029,180045.06,{0: 8029},8029,0,0,0,0,0
1980,SH221980,NONAME,1980-03-14 12:00,1980-03-20 00:00,OFCL,Madagascar,MDG,1156077,186337.1,"{0: 990706, 1: 165371}",990706,165371,0,0,0,0
1981,SH081981,NONAME,1981-01-04 00:00,1981-01-10 12:00,OFCL,Mauritius,MUS,1246279,121483568.78,"{1: 2159, 2: 1234700, 3: 9420}",0,2159,1234700,9420,0,0
1981,SH081981,NONAME,1981-01-04 00:00,1981-01-10 12:00,OFCL,Reunion,REU,963140,2194462605.33,"{3: 934903, 4: 28237}",0,0,0,934903,28237,0
1981,SH131981,NONAME,1981-01-28 00:00,1981-02-04 12:00,OFCL,Madagascar,MDG,4126991,4348802.93,"{0: 1309657, 1: 2776192, 2: 41142}",1309657,2776192,41142,0,0,0
1981,SH131981,NONAME,1981-01-28 00:00,1981-02-04 12:00,OFCL,Mauritius,MUS,44610,6448.86,{0: 44610},44610,0,0,0,0,0
1981,SH131981,NONAME,1981-01-28 00:00,1981-02-04 12:00,OFCL,Reunion,REU,35,3.1,{0: 35},35,0,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Comoros,COM,8574,29.95,{0: 8574},8574,0,0,0,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Madagascar,MDG,10424355,9092692.35,"{0: 5831370, 1: 4248623, 2: 342967, 3: 1395}",5831370,4248623,342967,1395,0,0
1981,SH171981,NONAME,1981-02-16 12:00,1981-02-23 12:00,OFCL,Mayotte,MYT,15189,3021.6,{0: 15189},15189,0,0,0,0,0
1981,SH221981,NONAME,1981-03-01 12:00,1981-03-10 00:00,OFCL,Madagascar,MDG,573950,2849.21,{0: 573950},573950,0,0,0,0,0
1981,SH221981,NONAME,1981-03-01 12:00,1981-03-10 00:00,OFCL,Mauritius,MUS,1191488,809533.17,"{0: 354691, 1: 836797}",354691,836797,0,0,0,0
1981,SH221981,NONAME,1981-03-01 12:00,1981-03-10 00:00,OFCL,Reunion,REU,349771,257601.96,"{0: 319363, 1: 30408}",319363,30408,0,0,0,0
1982,SH081982,NONAME,1982-01-06 00:00,1982-01-21 00:00,OFCL,Mauritius,MUS,44652,34244275.57,{3: 44652},0,0,0,44652,0,0
