tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,population,loss,wind_cat,wind_cat_0,wind_cat_1,wind_cat_2,wind_cat_3,wind_cat_4,wind_cat_5
1996,SH161996,NONAME,1996-02-18 00:00,1996-02-29 18:00,OFCL,Madagascar,MDG,Alaotra Mangoro,MDG,864751,2455487.58,"{0: 549521, 1: 255534, 2: 52917, 3: 6779}",549521,255534,52917,6779,0,0
1996,SH161996,NONAME,1996-02-18 00:00,1996-02-29 18:00,OFCL,Madagascar,MDG,Amoron'i Mania,MDG,667942,109523602.12,"{0: 1006, 1: 66570, 2: 256833, 3: 342198, 4: 1335}",1006,66570,256833,342198,1335,0
1996,SH161996,NONAME,1996-02-18 00:00,1996-02-29 18:00,OFCL,Madagascar,MDG,Analamanga,MDG,4666808,9029660.75,"{0: 203274, 1: 3949583, 2: 498079, 3: 15872}",203274,3949583,498079,15872,0,0
1996,SH161996,NONAME,1996-02-18 00:00,1996-02-29 18:00,OFCL,Madagascar,MDG,Analanjirofo,MDG,104901,145.87,"{0: 104807, 1: 94}",104807,94,0,0,0,0
1996,SH161996,NONAME,1996-02-18 00:00,1996-02-29 18:00,OFCL,Madagascar,MDG,Androy,MDG,2330,0.27,{0: 2330},2330,0,0,0,0,0
1996,SH161996,NONAME,1996-02-18 00:00,1996-02-29 18:00,OFCL,Madagascar,MDG,Anosy,MDG,167022,2897.85,"{0: 148920, 1: 18102}",148920,18102,0,0,0,0
1996,SH161996,NONAME,1996-02-18 00:00,1996-02-29 18:00,OFCL,Madagascar,MDG,Atsimo Andrefana,MDG,54193,1156.09,"{0: 53414, 1: 779}",53414,779,0,0,0,0
1996,SH161996,NONAME,1996-02-18 00:00,1996-02-29 18:00,OFCL,Madagascar,MDG,Atsimo Atsinanana,MDG,1194041,673069.62,"{0: 396689, 1: 777562, 2: 19790}",396689,777562,19790,0,0,0
1996,SH161996,NONAME,1996-02-18 00:00,1996-02-29 18:00,OFCL,Madagascar,MDG,Atsinanana,MDG,816548,63390253.88,"{0: 222994, 1: 104606, 2: 194477, 3: 294471}",222994,104606,194477,294471,0,0
1996,SH161996,NONAME,1996-02-18 00:00,1996-02-29 18:00,OFCL,Madagascar,MDG,Betsiboka,MDG,61117,174.24,"{0: 60837, 1: 280}",60837,280,0,0,0,0
1996,SH161996,NONAME,1996-02-18 00:00,1996-02-29 18:00,OFCL,Madagascar,MDG,Bongolava,MDG,565928,32093.21,"{0: 333176, 1: 232752}",333176,232752,0,0,0,0
1996,SH161996,NONAME,1996-02-18 00:00,1996-02-29 18:00,OFCL,Madagascar,MDG,Haute Matsiatra,MDG,1150834,75146703.36,"{0: 1121, 1: 184648, 2: 528563, 3: 436502}",1121,184648,528563,436502,0,0
1996,SH161996,NONAME,1996-02-18 00:00,1996-02-29 18:00,OFCL,Madagascar,MDG,Ihorombe,MDG,457183,147344.38,"{0: 141174, 1: 313566, 2: 2443}",141174,313566,2443,0,0,0
1996,SH161996,NONAME,1996-02-18 00:00,1996-02-29 18:00,OFCL,Madagascar,MDG,Itasy,MDG,736723,2010786.77,"{0: 39632, 1: 600399, 2: 96692}",39632,600399,96692,0,0,0
1996,SH161996,NONAME,1996-02-18 00:00,1996-02-29 18:00,OFCL,Madagascar,MDG,Melaky,MDG,4044,0.31,{0: 4044},4044,0,0,0,0,0
1996,SH161996,NONAME,1996-02-18 00:00,1996-02-29 18:00,OFCL,Madagascar,MDG,Menabe,MDG,264513,2610.82,"{0: 250612, 1: 13901}",250612,13901,0,0,0,0
1996,SH161996,NONAME,1996-02-18 00:00,1996-02-29 18:00,OFCL,Madagascar,MDG,Vakinakaratra,MDG,1831660,70278443.23,"{0: 14802, 1: 588839, 2: 968898, 3: 259121}",14802,588839,968898,259121,0,0
1996,SH161996,NONAME,1996-02-18 00:00,1996-02-29 18:00,OFCL,Madagascar,MDG,Vatovavy Fitovinany,MDG,1844273,227352623.93,"{1: 49603, 2: 754486, 3: 1038661, 4: 1523}",0,49603,754486,1038661,1523,0
1996,SH161996,NONAME,1996-02-18 00:00,1996-02-29 18:00,OFCL,Mauritius,MUS,,No Adm1,307,0.01,{0: 307},307,0,0,0,0,0
1996,SH161996,NONAME,1996-02-18 00:00,1996-02-29 18:00,OFCL,Mauritius,MUS,Riviere Du Rempart,MUS,5686,1.36,{0: 5686},5686,0,0,0,0,0
1996,SH161996,NONAME,1996-02-18 00:00,1996-02-29 18:00,OFCL,Reunion,REU,Arrondissement_du_vent,REU,17983,1.49,{0: 17983},17983,0,0,0,0,0
1996,SH161996,NONAME,1996-02-18 00:00,1996-02-29 18:00,OFCL,Reunion,REU,Arrondissement_souse_le_vent,REU,8305,2.57,{0: 8305},8305,0,0,0,0,0
