tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,adm2_name,adm2_code,population,loss,wind_cat
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Madagascar,MDG,Antananarivo,MDG.1_1,Analamanga,MDG.1.1_1,934382,15565067.525915816,"{0: 356, 1: 730188, 2: 192422, 3: 11416}"
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Madagascar,MDG,Antananarivo,MDG.1_1,Bongolava,MDG.1.2_1,121318,1825201.4330316717,"{0: 24315, 1: 72617, 2: 24379, 3: 7}"
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Madagascar,MDG,Antananarivo,MDG.1_1,Itasy,MDG.1.3_1,239698,1107098.113728595,"{0: 62805, 1: 165289, 2: 11604}"
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Madagascar,MDG,Antananarivo,MDG.1_1,Vakinankaratra,MDG.1.4_1,483867,201237.01121975324,"{0: 283521, 1: 200346}"
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Madagascar,MDG,Antsiranana,MDG.2_1,Diana,MDG.2.1_1,1588,3.348236973061722,{0: 1588}
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Madagascar,MDG,Antsiranana,MDG.2_1,Sava,MDG.2.2_1,486,1.025039655155757,{0: 486}
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Madagascar,MDG,Fianarantsoa,MDG.3_1,Amoron'i mania,MDG.3.1_1,33365,80.49649402825948,{0: 33365}
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Madagascar,MDG,Mahajanga,MDG.4_1,Betsiboka,MDG.4.1_1,93505,18119426.615553122,"{1: 280, 2: 65796, 3: 27429}"
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Madagascar,MDG,Mahajanga,MDG.4_1,Boeny,MDG.4.2_1,208067,12110061.862200644,"{0: 69, 1: 32036, 2: 169880, 3: 6082}"
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Madagascar,MDG,Mahajanga,MDG.4_1,Melaky,MDG.4.3_1,47674,345235.97842350753,"{0: 22151, 1: 20120, 2: 5403}"
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Madagascar,MDG,Mahajanga,MDG.4_1,Sofia,MDG.4.4_1,311428,1052369.5088978184,"{0: 158002, 1: 136749, 2: 16677}"
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Madagascar,MDG,Toamasina,MDG.5_1,Alaotra-Mangoro,MDG.5.1_1,328578,16117144.206893846,"{0: 30707, 1: 85578, 2: 209377, 3: 2916}"
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Madagascar,MDG,Toamasina,MDG.5_1,Analanjirofo,MDG.5.2_1,216112,72606.16791342746,"{0: 170447, 1: 45634, 2: 31}"
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Madagascar,MDG,Toamasina,MDG.5_1,Atsinanana,MDG.5.3_1,302646,106258.29421627705,"{0: 134504, 1: 168022, 2: 120}"
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Madagascar,MDG,Toliary,MDG.6_1,Menabe,MDG.6.4_1,14324,3434.6014527335524,"{0: 13095, 1: 1229}"
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Mayotte,MYT,Mamoudzou,MYT.12_1,,No Adm2,2944,7.2527632325223035,{0: 2944}
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Reunion,REU,Saint-Benoît,REU.1_1,Bras-Panon,REU.1.1_1,1277,224.25914186245438,{0: 1277}
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Reunion,REU,Saint-Benoît,REU.1_1,La Plaine-des-Palmistes,REU.1.2_1,485,249.73939979000224,"{0: 472, 1: 13}"
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Reunion,REU,Saint-Benoît,REU.1_1,Saint-André,REU.1.3_1,3220,364.1854134832564,{0: 3220}
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Reunion,REU,Saint-Benoît,REU.1_1,Saint-Benoît,REU.1.4_1,3598,105.37494573830189,"{0: 3589, 1: 9}"
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Reunion,REU,Saint-Benoît,REU.1_1,Sainte-Rose,REU.1.5_1,1752,73.07766550390697,"{0: 1751, 1: 1}"
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Reunion,REU,Saint-Benoît,REU.1_1,Salazie,REU.1.6_1,1176,416.85103106566584,"{0: 1076, 1: 100}"
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Reunion,REU,Saint-Denis,REU.2_1,La Possession,REU.2.1_1,7538,1507.5819166693414,"{0: 7005, 1: 533}"
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Reunion,REU,Saint-Denis,REU.2_1,Le Port,REU.2.2_1,18173,4024.814836356969,{0: 18173}
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Reunion,REU,Saint-Denis,REU.2_1,Saint-Denis,REU.2.3_1,67933,2895.8704753091506,"{0: 66590, 1: 1343}"
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Reunion,REU,Saint-Denis,REU.2_1,Sainte-Marie,REU.2.4_1,7732,636.2652165507634,"{0: 7556, 1: 176}"
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Reunion,REU,Saint-Denis,REU.2_1,Sainte-Suzanne,REU.2.5_1,6161,698.0020339115569,{0: 6161}
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Reunion,REU,Saint-Paul,REU.3_1,L'Étang-Salé,REU.3.1_1,2780,1248.345075370562,"{0: 1829, 1: 951}"
2026,SH192026,FYTIA,2026-01-28 12:00,2026-01-31 12:00,JTWC,Reunion,REU,Saint-Paul,REU.3_1,Les Avirons,REU.3.2_1,1766,2452.9066964604795,"{0: 654, 1: 1112}"
