tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,population,loss,wind_cat,wind_cat_0,wind_cat_1,wind_cat_2,wind_cat_3,wind_cat_4,wind_cat_5
2022,SH072022,ANA,2022-01-20 00:00,2022-01-25 06:00,OFCL,Madagascar,MDG,Antananarivo,MDG.1_1,1195912,21064.67,"{0: 1173109, 1: 22803}",1173109,22803,0,0,0,0
2022,SH072022,ANA,2022-01-20 00:00,2022-01-25 06:00,OFCL,Madagascar,MDG,Fianarantsoa,MDG.3_1,17034,0.55,{0: 17034},17034,0,0,0,0,0
2022,SH072022,ANA,2022-01-20 00:00,2022-01-25 06:00,OFCL,Madagascar,MDG,Mahajanga,MDG.4_1,70403,799.63,"{0: 70394, 1: 9}",70394,9,0,0,0,0
2022,SH072022,ANA,2022-01-20 00:00,2022-01-25 06:00,OFCL,Madagascar,MDG,Toamasina,MDG.5_1,452859,25567.29,"{0: 407993, 1: 44866}",407993,44866,0,0,0,0
2022,SH072022,ANA,2022-01-20 00:00,2022-01-25 06:00,OFCL,Mozambique,MOZ,Tete,MOZ.10_1,1076,0.01,{0: 1076},1076,0,0,0,0,0
2022,SH072022,ANA,2022-01-20 00:00,2022-01-25 06:00,OFCL,Mozambique,MOZ,Zambezia,MOZ.11_1,518800,185895.31,"{0: 394178, 1: 124622}",394178,124622,0,0,0,0
2022,SH072022,ANA,2022-01-20 00:00,2022-01-25 06:00,OFCL,Mozambique,MOZ,Nampula,MOZ.7_1,831142,563716.31,"{0: 475824, 1: 354705, 2: 613}",475824,354705,613,0,0,0
2022,SH082022,BATSIRAI,2022-01-25 06:00,2022-02-09 12:00,OFCL,Madagascar,MDG,Antananarivo,MDG.1_1,1907520,119979351.15,"{0: 45009, 1: 488119, 2: 1138420, 3: 235972}",45009,488119,1138420,235972,0,0
2022,SH082022,BATSIRAI,2022-01-25 06:00,2022-02-09 12:00,OFCL,Madagascar,MDG,Fianarantsoa,MDG.3_1,1409477,669002452.57,"{0: 6809, 1: 164473, 2: 284024, 3: 940265, 4: 13906}",6809,164473,284024,940265,13906,0
2022,SH082022,BATSIRAI,2022-01-25 06:00,2022-02-09 12:00,OFCL,Madagascar,MDG,Mahajanga,MDG.4_1,73316,12631.54,"{0: 63482, 1: 9834}",63482,9834,0,0,0,0
2022,SH082022,BATSIRAI,2022-01-25 06:00,2022-02-09 12:00,OFCL,Madagascar,MDG,Toamasina,MDG.5_1,881589,67821038.07,"{0: 225187, 1: 330359, 2: 192026, 3: 134017}",225187,330359,192026,134017,0,0
2022,SH082022,BATSIRAI,2022-01-25 06:00,2022-02-09 12:00,OFCL,Madagascar,MDG,Toliary,MDG.6_1,744273,1685785.06,"{0: 494334, 1: 231861, 2: 18078}",494334,231861,18078,0,0,0
2022,SH082022,BATSIRAI,2022-01-25 06:00,2022-02-09 12:00,OFCL,Mauritius,MUS,Savanne,MUS.12_1,25880,1116015.03,{1: 25880},0,25880,0,0,0,0
2022,SH082022,BATSIRAI,2022-01-25 06:00,2022-02-09 12:00,OFCL,Mauritius,MUS,Black River,MUS.2_1,27234,1907012.13,"{1: 25482, 2: 1752}",0,25482,1752,0,0,0
2022,SH082022,BATSIRAI,2022-01-25 06:00,2022-02-09 12:00,OFCL,Mauritius,MUS,Flacq,MUS.3_1,46147,3344831.42,"{1: 44893, 2: 1254}",0,44893,1254,0,0,0
2022,SH082022,BATSIRAI,2022-01-25 06:00,2022-02-09 12:00,OFCL,Mauritius,MUS,Grand Port,MUS.4_1,40682,2203885.5,{1: 40682},0,40682,0,0,0,0
2022,SH082022,BATSIRAI,2022-01-25 06:00,2022-02-09 12:00,OFCL,Mauritius,MUS,Moka,MUS.5_1,26220,1884641.36,{1: 26220},0,26220,0,0,0,0
2022,SH082022,BATSIRAI,2022-01-25 06:00,2022-02-09 12:00,OFCL,Mauritius,MUS,Pamplemousses,MUS.6_1,52094,3596865.73,"{1: 38617, 2: 13477}",0,38617,13477,0,0,0
2022,SH082022,BATSIRAI,2022-01-25 06:00,2022-02-09 12:00,OFCL,Mauritius,MUS,Plaines Wilhems,MUS.7_1,144447,2299331.55,"{1: 111836, 2: 32611}",0,111836,32611,0,0,0
2022,SH082022,BATSIRAI,2022-01-25 06:00,2022-02-09 12:00,OFCL,Mauritius,MUS,Port Louis,MUS.8_1,45141,1708906.96,"{1: 45121, 2: 20}",0,45121,20,0,0,0
2022,SH082022,BATSIRAI,2022-01-25 06:00,2022-02-09 12:00,OFCL,Mauritius,MUS,Rivière du Rempart,MUS.9_1,37298,5960379.76,"{1: 3755, 2: 33543}",0,3755,33543,0,0,0
2022,SH082022,BATSIRAI,2022-01-25 06:00,2022-02-09 12:00,OFCL,Reunion,REU,Saint-Benoît,REU.1_1,46326,5163165.31,"{1: 24706, 2: 21620}",0,24706,21620,0,0,0
