tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,population_15as,population_30as,loss_15as,loss_30as,wind_cat_15as,wind_cat_30as,wind_cat_0_15as,wind_cat_0_30as,wind_cat_1_15as,wind_cat_1_30as,wind_cat_2_15as,wind_cat_2_30as,wind_cat_3_15as,wind_cat_3_30as,wind_cat_4_15as,wind_cat_4_30as,wind_cat_5_15as,wind_cat_5_30as
2022,SH072022,ANA,2022-01-20 00:00,2022-01-25 06:00,OFCL,Madagascar,MDG,10805148.0,1736208.0,2786507.77,47432.14,"{0: 3983084, 1: 6822064}","{0: 1668530, 1: 67678}",3983084.0,1668530.0,6822064.0,67678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,SH072022,ANA,2022-01-20 00:00,2022-01-25 06:00,OFCL,Mozambique,MOZ,8561178.0,1351018.0,14827561.47,749611.63,"{0: 3269991, 1: 4544786, 2: 746401}","{0: 871078, 1: 479327, 2: 613}",3269991.0,871078.0,4544786.0,479327.0,746401.0,613.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,SH082022,BATSIRAI,2022-01-25 06:00,2022-02-09 12:00,OFCL,Madagascar,MDG,22123596.0,5016175.0,1078179165.16,858501258.39,"{0: 2914404, 1: 5112716, 2: 6665316, 3: 5790706, 4: 1640454}","{0: 834821, 1: 1224646, 2: 1632548, 3: 1310254, 4: 13906}",2914404.0,834821.0,5112716.0,1224646.0,6665316.0,1632548.0,5790706.0,1310254.0,1640454.0,13906.0,0.0,0.0
2022,SH082022,BATSIRAI,2022-01-25 06:00,2022-02-09 12:00,OFCL,Mauritius,MUS,1246279.0,445143.0,23869070.58,24021869.43,"{1: 1101030, 2: 145249}","{1: 362486, 2: 82657}",0.0,0.0,1101030.0,362486.0,145249.0,82657.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,SH082022,BATSIRAI,2022-01-25 06:00,2022-02-09 12:00,OFCL,Reunion,REU,963140.0,289946.0,26421160.43,13326753.87,"{1: 878981, 2: 84159}","{1: 240516, 2: 49430}",0.0,0.0,878981.0,240516.0,84159.0,49430.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,SH122022,DUMAKO,2022-02-11 06:00,2022-02-16 00:00,OFCL,Madagascar,MDG,2559648.0,488898.0,4420079.38,350748.61,"{0: 622122, 1: 1768807, 2: 168719}","{0: 232142, 1: 256756}",622122.0,232142.0,1768807.0,256756.0,168719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,SH132022,EMNATI,2022-02-15 12:00,2022-02-25 00:00,OFCL,Madagascar,MDG,10038794.0,1558849.0,103434740.12,27262524.45,"{0: 4100621, 1: 2948496, 2: 1611520, 3: 1378157}","{0: 738989, 1: 463936, 2: 348385, 3: 7539}",4100621.0,738989.0,2948496.0,463936.0,1611520.0,348385.0,1378157.0,7539.0,0.0,0.0,0.0,0.0
2022,SH132022,EMNATI,2022-02-15 12:00,2022-02-25 00:00,OFCL,Mauritius,MUS,1245631.0,445143.0,1558378.76,1391727.57,"{0: 67206, 1: 1178425}","{0: 19097, 1: 426046}",67206.0,19097.0,1178425.0,426046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,SH132022,EMNATI,2022-02-15 12:00,2022-02-25 00:00,OFCL,Reunion,REU,633740.0,288533.0,12582785.43,709103.69,"{0: 252790, 1: 380950}","{0: 97689, 1: 190844}",252790.0,97689.0,380950.0,190844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,SH192022,GOMBE,2022-03-06 00:00,2022-03-12 06:00,OFCL,Madagascar,MDG,1267132.0,76050.0,159615.36,1995.86,"{0: 1055942, 1: 211098, 2: 92}","{0: 74244, 1: 1806}",1055942.0,74244.0,211098.0,1806.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
