tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,adm2_name,adm2_code,population_15as,population_30as,loss_15as,loss_30as,wind_cat_15as,wind_cat_30as,wind_cat_0_15as,wind_cat_0_30as,wind_cat_1_15as,wind_cat_1_30as,wind_cat_2_15as,wind_cat_2_30as,wind_cat_3_15as,wind_cat_3_30as,wind_cat_4_15as,wind_cat_4_30as,wind_cat_5_15as,wind_cat_5_30as
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Mauritius,MUS,Riviere Du Rempart,MUS,0.0,No Adm2,,123738.0,,35489489.49,,"{2: 117097, 3: 6641}",,0.0,,0.0,,117097.0,,6641.0,,0.0,,0.0
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Mauritius,MUS,Rodriguez,MUS.10_1,,No Adm2,102.0,,84918.26,,"{2: 92704, 3: 1856, 0: 102}",,102.0,,0.0,,92704.0,,1856.0,,0.0,,0.0,
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Mauritius,MUS,Savanne,MUS.12_1,0.0,No Adm2,,60507.0,,38341956.82,,"{2: 28524, 3: 31983}",,0.0,,0.0,,28524.0,,31983.0,,0.0,,0.0
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Mauritius,MUS,Savanne,MUS.12_1,,No Adm2,70087.0,,14099054.08,,"{2: 92704, 3: 1856, 0: 102}",,102.0,,0.0,,92704.0,,1856.0,,0.0,,0.0,
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Mauritius,MUS,Black River,MUS.2_1,0.0,No Adm2,,72490.0,,32575858.92,,"{2: 68899, 3: 3591}",,0.0,,0.0,,68899.0,,3591.0,,0.0,,0.0
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Mauritius,MUS,Black River,MUS.2_1,,No Adm2,94560.0,,17936154.01,,"{2: 92704, 3: 1856, 0: 102}",,102.0,,0.0,,92704.0,,1856.0,,0.0,,0.0,
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Mauritius,MUS,Flacq,MUS.3_1,0.0,No Adm2,,148203.0,,69010848.39,,"{2: 107761, 3: 40442}",,0.0,,0.0,,107761.0,,40442.0,,0.0,,0.0
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Mauritius,MUS,Flacq,MUS.3_1,,No Adm2,140810.0,,29832875.3,,"{2: 92704, 3: 1856, 0: 102}",,102.0,,0.0,,92704.0,,1856.0,,0.0,,0.0,
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Mauritius,MUS,Grand Port,MUS.4_1,0.0,No Adm2,,117962.0,,64488429.42,,"{2: 69756, 3: 48206}",,0.0,,0.0,,69756.0,,48206.0,,0.0,,0.0
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Mauritius,MUS,Grand Port,MUS.4_1,,No Adm2,113523.0,,32872242.78,,"{2: 92704, 3: 1856, 0: 102}",,102.0,,0.0,,92704.0,,1856.0,,0.0,,0.0,
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Mauritius,MUS,Moka,MUS.5_1,0.0,No Adm2,,144916.0,,27883052.32,,"{2: 144692, 3: 224}",,0.0,,0.0,,144692.0,,224.0,,0.0,,0.0
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Mauritius,MUS,Moka,MUS.5_1,,No Adm2,88800.0,,14410842.75,,"{2: 92704, 3: 1856, 0: 102}",,102.0,,0.0,,92704.0,,1856.0,,0.0,,0.0,
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Mauritius,MUS,Pamplemousses,MUS.6_1,0.0,No Adm2,,165109.0,,56338389.75,,"{2: 162838, 3: 2271}",,0.0,,0.0,,162838.0,,2271.0,,0.0,,0.0
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Mauritius,MUS,Pamplemousses,MUS.6_1,,No Adm2,148742.0,,24804454.06,,"{2: 92704, 3: 1856, 0: 102}",,102.0,,0.0,,92704.0,,1856.0,,0.0,,0.0,
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Mauritius,MUS,Plaines Wilhems,MUS.7_1,0.0,No Adm2,,294342.0,,29028180.12,,"{2: 263542, 3: 30800}",,0.0,,0.0,,263542.0,,30800.0,,0.0,,0.0
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Mauritius,MUS,Plaines Wilhems,MUS.7_1,,No Adm2,365517.0,,50567545.19,,"{2: 92704, 3: 1856, 0: 102}",,102.0,,0.0,,92704.0,,1856.0,,0.0,,0.0,
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Mauritius,MUS,Port Louis,MUS.8_1,0.0,No Adm2,,100326.0,,9513075.78,,"{2: 96381, 3: 3945}",,0.0,,0.0,,96381.0,,3945.0,,0.0,,0.0
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Mauritius,MUS,Port Louis,MUS.8_1,,No Adm2,111040.0,,18814410.44,,"{2: 92704, 3: 1856, 0: 102}",,102.0,,0.0,,92704.0,,1856.0,,0.0,,0.0,
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Mauritius,MUS,Rivière du Rempart,MUS.9_1,,No Adm2,113200.0,,20736297.14,,"{2: 92704, 3: 1856, 0: 102}",,102.0,,0.0,,92704.0,,1856.0,,0.0,,0.0,
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Mauritius,MUS,0,No Adm1,0.0,No Adm2,,993.0,,88245.48,,"{0: 686, 3: 307}",,686.0,,0.0,,0.0,,307.0,,0.0,,0.0
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Reunion,REU,Arrondissement_du_vent,REU,0.0,No Adm2,,207195.0,,6906.65,,"{0: 201876, 1: 5319}",,201876.0,,5319.0,,0.0,,0.0,,0.0,,0.0
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Reunion,REU,Arrondissement_souse_le_vent,REU,0.0,No Adm2,,442014.0,,866549.26,,"{0: 216945, 1: 225069}",,216945.0,,225069.0,,0.0,,0.0,,0.0,,0.0
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Reunion,REU,Saint-Benoît,REU.1_1,Bras-Panon,REU.1.1_1,9721.0,,1162.29,,{0: 9721},,9721.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Reunion,REU,Saint-Benoît,REU.1_1,La Plaine-des-Palmistes,REU.1.2_1,7627.0,,6407.63,,"{0: 7588, 1: 39}",,7588.0,,39.0,,0.0,,0.0,,0.0,,0.0,
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Reunion,REU,Saint-Benoît,REU.1_1,Saint-André,REU.1.3_1,13332.0,,1924.54,,{0: 13332},,13332.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Reunion,REU,Saint-Benoît,REU.1_1,Saint-Benoît,REU.1.4_1,31716.0,,11165.43,,"{0: 31693, 1: 23}",,31693.0,,23.0,,0.0,,0.0,,0.0,,0.0,
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Reunion,REU,Saint-Benoît,REU.1_1,Sainte-Rose,REU.1.5_1,7056.0,,20600.96,,"{0: 4971, 1: 2085}",,4971.0,,2085.0,,0.0,,0.0,,0.0,,0.0,
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Reunion,REU,Saint-Benoît,REU.1_1,Salazie,REU.1.6_1,6822.0,,166.08,,"{0: 6817, 1: 5}",,6817.0,,5.0,,0.0,,0.0,,0.0,,0.0,
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Reunion,REU,Saint-Denis,REU.2_1,La Possession,REU.2.1_1,11856.0,,1709.87,,"{0: 11832, 1: 24}",,11832.0,,24.0,,0.0,,0.0,,0.0,,0.0,
