atcf_id,dtg,tech,adm0_name,adm0_code,adm1_name,adm1_code,population,loss,wind_cat
SH072022,2022-01-25 06:00,OFCL,Madagascar,MDG,Antananarivo,MDG.1_1,7330135,1727486.1671429446,"{0: 2074334, 1: 5255801}"
SH072022,2022-01-25 06:00,OFCL,Madagascar,MDG,Fianarantsoa,MDG.3_1,393034,6984.463947162414,{0: 393034}
SH072022,2022-01-25 06:00,OFCL,Madagascar,MDG,Mahajanga,MDG.4_1,864570,115651.61708332557,"{0: 668666, 1: 195904}"
SH072022,2022-01-25 06:00,OFCL,Madagascar,MDG,Toamasina,MDG.5_1,2536253,936383.4286715682,"{0: 1165894, 1: 1370359}"
SH072022,2022-01-25 06:00,OFCL,Madagascar,MDG,Toliary,MDG.6_1,7294,12.319251245829417,{0: 7294}
SH072022,2022-01-25 06:00,OFCL,Mozambique,MOZ,Manica,MOZ.4_1,10362,10.200596387292036,{0: 10362}
SH072022,2022-01-25 06:00,OFCL,Mozambique,MOZ,Nampula,MOZ.7_1,4782909,11103160.436139349,"{0: 1222671, 1: 2958860, 2: 601378}"
SH072022,2022-01-25 06:00,OFCL,Mozambique,MOZ,Sofala,MOZ.9_1,159820,848.3100479191095,{0: 159820}
SH072022,2022-01-25 06:00,OFCL,Mozambique,MOZ,Tete,MOZ.10_1,195125,4518.72090311948,{0: 195125}
SH072022,2022-01-25 06:00,OFCL,Mozambique,MOZ,Zambezia,MOZ.11_1,3713420,3719032.91609871,"{0: 1982471, 1: 1585926, 2: 145023}"
