atcf_id,dtg,tech,adm0_name,adm0_code,adm1_name,adm1_code,adm2_name,adm2_code,population,loss,wind_cat
SH022025,2024-11-23 12:00,JTWC,Mauritius,MUS,Rodriguez,MUS.10_1,,No Adm2,44652,364967.22443052236,{1: 44652}
SH022025,2024-11-23 12:00,JTWC,Reunion,REU,Saint-Benoît,REU.1_1,La Plaine-des-Palmistes,REU.1.2_1,47,131.5569229920403,"{0: 8, 1: 39}"
SH022025,2024-11-23 12:00,JTWC,Reunion,REU,Saint-Benoît,REU.1_1,Sainte-Rose,REU.1.5_1,72,286.58139217544027,"{0: 49, 1: 23}"
SH022025,2024-11-23 12:00,JTWC,Reunion,REU,Saint-Benoît,REU.1_1,Salazie,REU.1.6_1,139,56.37861694438459,{0: 139}
SH022025,2024-11-23 12:00,JTWC,Reunion,REU,Saint-Denis,REU.2_1,La Possession,REU.2.1_1,4957,82.00844651234243,{0: 4957}
SH022025,2024-11-23 12:00,JTWC,Reunion,REU,Saint-Denis,REU.2_1,Le Port,REU.2.2_1,1526,9.546474535818096,{0: 1526}
SH022025,2024-11-23 12:00,JTWC,Reunion,REU,Saint-Denis,REU.2_1,Saint-Denis,REU.2.3_1,3844,126.78449265740167,{0: 3844}
SH022025,2024-11-23 12:00,JTWC,Reunion,REU,Saint-Paul,REU.3_1,L'Étang-Salé,REU.3.1_1,10729,3932.9634908913777,{0: 10729}
SH022025,2024-11-23 12:00,JTWC,Reunion,REU,Saint-Paul,REU.3_1,Les Avirons,REU.3.2_1,10404,1574.9107925006215,{0: 10404}
SH022025,2024-11-23 12:00,JTWC,Reunion,REU,Saint-Paul,REU.3_1,Les Trois-Bassins,REU.3.3_1,7678,8205.39870636095,"{0: 7501, 1: 177}"
SH022025,2024-11-23 12:00,JTWC,Reunion,REU,Saint-Paul,REU.3_1,Saint-Leu,REU.3.4_1,31384,40060.21275137445,"{0: 26029, 1: 5355}"
SH022025,2024-11-23 12:00,JTWC,Reunion,REU,Saint-Paul,REU.3_1,Saint-Paul,REU.3.5_1,46596,10234.484981790923,"{0: 46487, 1: 109}"
SH022025,2024-11-23 12:00,JTWC,Reunion,REU,Saint-Pierre,REU.4_1,Cilaos,REU.4.1_1,170,142.8022772769934,"{0: 166, 1: 4}"
SH022025,2024-11-23 12:00,JTWC,Reunion,REU,Saint-Pierre,REU.4_1,L'Entre-Deux,REU.4.2_1,5148,476.5575756323239,"{0: 5139, 1: 9}"
SH022025,2024-11-23 12:00,JTWC,Reunion,REU,Saint-Pierre,REU.4_1,Le Tampon,REU.4.3_1,50120,50187.39608698177,"{0: 33064, 1: 17056}"
SH022025,2024-11-23 12:00,JTWC,Reunion,REU,Saint-Pierre,REU.4_1,Petite-Île,REU.4.4_1,13123,8025.807703605335,{0: 13123}
SH022025,2024-11-23 12:00,JTWC,Reunion,REU,Saint-Pierre,REU.4_1,Saint-Joseph,REU.4.5_1,28618,7092.884656847483,"{0: 28356, 1: 262}"
SH022025,2024-11-23 12:00,JTWC,Reunion,REU,Saint-Pierre,REU.4_1,Saint-Louis,REU.4.6_1,12890,1918.1447540332322,{0: 12890}
SH022025,2024-11-23 12:00,JTWC,Reunion,REU,Saint-Pierre,REU.4_1,Saint-Philippe,REU.4.7_1,1232,7.788601447736569,{0: 1232}
SH022025,2024-11-23 12:00,JTWC,Reunion,REU,Saint-Pierre,REU.4_1,Saint-Pierre,REU.4.8_1,26370,8411.144144150345,{0: 26370}
