tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,population,loss,wind_cat,adm1_name,adm1_code,adm2_name,adm2_code
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,66222,68130.52,"{0: 66213, 1: 9}",,,,
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,3446,90.82,{0: 3446},Anse Boileau,SYC.2_1,,No Adm2
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,4457,1995.87,{0: 4457},Anse Royale,SYC.4_1,,No Adm2
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,3957,37274.55,{0: 3957},Anse aux Pins,SYC.1_1,,No Adm2
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,1717,146.35,{0: 1717},Anse Étoile,SYC.3_1,,No Adm2
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,5986,6822.33,{0: 5986},Au Cap,SYC.5_1,,No Adm2
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,4376,5414.11,{0: 4376},Baie Lazare,SYC.6_1,,No Adm2
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,6583,1279.8,{0: 6583},Baie Sainte Anne,SYC.7_1,,No Adm2
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,300,0.23,{0: 300},Beau Vallon,SYC.8_1,,No Adm2
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,651,237.05,{0: 651},Bel Air,SYC.9_1,,No Adm2
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,3615,62.84,{0: 3615},Belombre,SYC.10_1,,No Adm2
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,3077,95.1,{0: 3077},Cascade,SYC.11_1,,No Adm2
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,1690,129.33,{0: 1690},Glacis,SYC.13_1,,No Adm2
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,3823,1075.44,{0: 3823},Grand' Anse,SYC.14_1,,No Adm2
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,4382,1345.1,{0: 4382},Grand'Anse Praslin,SYC.15_1,,No Adm2
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,4165,1347.37,{0: 4165},La Digue and Inner Islands,SYC.16_1,,No Adm2
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,812,1.46,{0: 812},Les Mamelles,SYC.17_1,,No Adm2
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,1060,253.12,{0: 1060},Mont Fleuri,SYC.19_1,,No Adm2
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,28,28.25,{0: 28},Outer Islands,SYC.20_1,,No Adm2
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,1887,209.56,{0: 1887},Plaisance,SYC.21_1,,No Adm2
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,4074,3356.54,{0: 4074},Pointe La Rue,SYC.22_1,,No Adm2
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,3053,3066.77,{0: 3053},Port Glaud,SYC.23_1,,No Adm2
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,3083,3898.53,"{0: 3074, 1: 9}",Takamaka,SYC.26_1,,No Adm2
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,3446,90.82,{0: 3446},Anse Boileau,SYC.2_1,,
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,4457,1995.87,{0: 4457},Anse Royale,SYC.4_1,,
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,3957,37274.55,{0: 3957},Anse aux Pins,SYC.1_1,,
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,1717,146.35,{0: 1717},Anse Étoile,SYC.3_1,,
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,5986,6822.33,{0: 5986},Au Cap,SYC.5_1,,
2003,SH012003,NONAME,2002-09-05 12:00,2002-09-09 00:00,OFCL,Seychelles,SYC,4376,5414.11,{0: 4376},Baie Lazare,SYC.6_1,,
